Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
37,tt0050051,2020-09-30,2020-09-30,,Perry Mason,https://www.imdb.com/title/tt0050051/,tvSeries,8.3,60,1957,"Crime, Drama, Mystery",9948,1957-09-21,
38,tt0149416,2020-09-30,2020-09-30,,The Army Game,https://www.imdb.com/title/tt0149416/,tvSeries,7.5,30,1957,Comedy,91,1957-06-19,
39,tt0050079,2020-09-30,2020-09-30,,Zorro,https://www.imdb.com/title/tt0050079/,tvSeries,8.2,30,1957,"Action, Adventure, Comedy, Drama, Family, Western",3763,1957-10-10,
40,tt0050073,2020-09-30,2020-09-30,,Wagon Train,https://www.imdb.com/title/tt0050073/,tvSeries,7.5,75,1957,Western,3351,1957-09-18,
41,tt0262990,2020-09-30,2020-09-30,,The Sky at Night,https://www.imdb.com/title/tt0262990/,tvSeries,8.4,20,1957,Documentary,348,1957-04-24,
42,tt0296464,2020-09-30,2020-09-30,,Zum blauen Bock,https://www.imdb.com/title/tt0296464/,tvSeries,6.0,,1957,"Comedy, Family, Game-Show, Music, Talk-Show",53,1957-08-03,
43,tt2724512,2020-09-30,2020-09-30,,Canzonissima,https://www.imdb.com/title/tt2724512/,tvSeries,6.8,120,1958,Music,10,1958-10-22,
44,tt0051247,2020-09-30,2020-09-30,,77 Sunset Strip,https://www.imdb.com/title/tt0051247/,tvSeries,7.7,60,1958,"Action, Crime, Drama",1472,1958-10-10,
45,tt0051267,2020-09-30,2020-09-30,,The Donna Reed Show,https://www.imdb.com/title/tt0051267/,tvSeries,7.4,30,1958,"Comedy, Family",1721,1958-09-24,
46,tt0051311,2020-09-30,2020-09-30,,Sea Hunt,https://www.imdb.com/title/tt0051311/,tvSeries,7.7,30,1958,"Action, Adventure",1294,1958-01-04,
47,tt0051297,2020-09-30,2020-09-30,,Naked City,https://www.imdb.com/title/tt0051297/,tvSeries,8.2,60,1958,"Crime, Drama, Thriller",1285,1958-09-30,
48,tt0051301,2020-09-30,2020-09-30,,Peter Gunn,https://www.imdb.com/title/tt0051301/,tvSeries,8.1,30,1958,"Action, Crime, Drama, Mystery",1436,1958-09-22,
49,tt0051308,2020-09-30,2020-09-30,,The Rifleman,https://www.imdb.com/title/tt0051308/,tvSeries,8.3,30,1958,"Family, Western",4449,1958-09-30,
50,tt0052451,2020-09-30,2020-09-30,,Bonanza,https://www.imdb.com/title/tt0052451/,tvSeries,7.3,49,1959,Western,9875,1959-09-12,
51,tt0052522,2020-09-30,2020-09-30,,The Untouchables,https://www.imdb.com/title/tt0052522/,tvSeries,8.0,50,1959,"Action, Crime, Drama",2838,1959-01-22,
52,tt0052520,2020-09-30,2020-09-30,,The Twilight Zone,https://www.imdb.com/title/tt0052520/,tvSeries,9.1,51,1959,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",85342,1959-10-02,
53,tt0052504,2020-09-30,2020-09-30,,Rawhide,https://www.imdb.com/title/tt0052504/,tvSeries,7.9,50,1959,Western,4059,1959-01-09,
54,tt0052481,2020-09-30,2020-09-30,,Laramie,https://www.imdb.com/title/tt0052481/,tvSeries,7.7,60,1959,Western,1258,1959-09-15,
55,tt0053479,2020-09-30,2020-09-30,,The Andy Griffith Show,https://www.imdb.com/title/tt0053479/,tvSeries,8.4,30,1960,"Comedy, Family",15463,1960-10-03,
56,tt0053502,2020-09-30,2020-09-30,,The Flintstones,https://www.imdb.com/title/tt0053502/,tvSeries,7.5,26,1960,"Animation, Adventure, Comedy, Family",37902,1960-05-01,
57,tt0053494,2020-09-30,2020-09-30,,Coronation Street,https://www.imdb.com/title/tt0053494/,tvSeries,5.6,30,1960,"Drama, Romance",5619,1960-12-09,
58,tt0053496,2020-09-30,2020-09-30,,Danger Man,https://www.imdb.com/title/tt0053496/,tvSeries,7.9,24,1960,"Action, Adventure, Crime, Mystery, Thriller",1273,1960-09-11,
59,tt0054528,2020-09-30,2020-09-30,,"Car 54, Where Are You?",https://www.imdb.com/title/tt0054528/,tvSeries,7.7,30,1961,Comedy,1717,1961-09-17,
60,tt0054535,2020-09-30,2020-09-30,,Dr. Kildare,https://www.imdb.com/title/tt0054535/,tvSeries,7.0,60,1961,Drama,895,1961-09-28,
61,tt0054557,2020-09-30,2020-09-30,,Mister Ed,https://www.imdb.com/title/tt0054557/,tvSeries,6.9,30,1961,"Comedy, Family, Fantasy",4377,1961-01-04,
62,tt0054545,2020-09-30,2020-09-30,,Hazel,https://www.imdb.com/title/tt0054545/,tvSeries,7.2,30,1961,Comedy,1906,1961-09-28,
63,tt0121016,2020-09-30,2020-09-30,,Die Rudi Carrell Show,https://www.imdb.com/title/tt0121016/,tvSeries,6.6,45,1965,"Comedy, Family, Game-Show, Music",52,1965-10-25,
64,tt0054518,2020-09-30,2020-09-30,,The Avengers,https://www.imdb.com/title/tt0054518/,tvSeries,8.3,,1961,"Action, Comedy, Crime, Mystery, Romance, Sci-Fi, Thriller",8117,1961-01-07,
65,tt0054533,2020-09-30,2020-09-30,,The Dick Van Dyke Show,https://www.imdb.com/title/tt0054533/,tvSeries,8.4,30,1961,"Comedy, Family",10920,1961-10-03,
66,tt0159867,2020-09-30,2020-09-30,,Dr. Finlay's Casebook,https://www.imdb.com/title/tt0159867/,tvSeries,7.9,50,1962,Drama,124,1962-08-16,
67,tt0057785,2020-09-30,2020-09-30,,Steptoe and Son,https://www.imdb.com/title/tt0057785/,tvSeries,7.8,45,1962,Comedy,3235,1962-01-05,
68,tt0376402,2020-09-30,2020-09-30,,Intervilles,https://www.imdb.com/title/tt0376402/,tvSeries,4.4,120,1962,"Family, Game-Show",37,1962-07-19,
69,tt0250920,2020-09-30,2020-09-30,,Sábado gigante,https://www.imdb.com/title/tt0250920/,tvSeries,5.7,240,1986,"Comedy, Family, Game-Show, Music, Talk-Show",154,1986-04-12,
70,tt0055660,2020-09-30,2020-09-30,,The Andy Williams Show,https://www.imdb.com/title/tt0055660/,tvSeries,7.5,60,1962,Music,264,1962-09-20,
71,tt0055662,2020-09-30,2020-09-30,,The Beverly Hillbillies,https://www.imdb.com/title/tt0055662/,tvSeries,7.2,25,1962,"Comedy, Family",10046,1962-09-26,
72,tt0055701,2020-09-30,2020-09-30,,The Saint,https://www.imdb.com/title/tt0055701/,tvSeries,7.5,50,1962,"Action, Crime, Drama, Mystery, Thriller",5676,1962-10-04,
73,tt0055710,2020-09-30,2020-09-30,,The Virginian,https://www.imdb.com/title/tt0055710/,tvSeries,7.6,75,1962,Western,2820,1962-09-19,
74,tt0129723,2020-09-30,2020-09-30,,Z Cars,https://www.imdb.com/title/tt0129723/,tvSeries,7.1,50,1962,"Crime, Drama",346,1962-01-02,
75,tt0121949,2020-09-30,2020-09-30,,Mutual of Omaha's Wild Kingdom,https://www.imdb.com/title/tt0121949/,tvSeries,8.4,30,1963,"Documentary, Family",423,1963-01-06,
76,tt0121210,2020-09-30,2020-09-30,,Der 90. Geburtstag oder Dinner for One,https://www.imdb.com/title/tt0121210/,tvShort,8.0,18,1963,"Short, Comedy",7503,1963-05-31,"Heinz Dunkhase, Franco Marazzi"
77,tt0196287,2020-09-30,2020-09-30,,"Ready, Steady, Go!",https://www.imdb.com/title/tt0196287/,tvSeries,8.2,50,1963,Music,76,1963-08-09,
78,tt0056751,2020-09-30,2020-09-30,,Doctor Who,https://www.imdb.com/title/tt0056751/,tvSeries,8.4,45,1963,"Adventure, Drama, Family, Sci-Fi",37853,1963-11-23,
79,tt0056770,2020-09-30,2020-09-30,,Let's Make a Deal,https://www.imdb.com/title/tt0056770/,tvSeries,6.9,30,1963,"Family, Game-Show",486,1963-12-30,
80,tt0056767,2020-09-30,2020-09-30,,The Judy Garland Show,https://www.imdb.com/title/tt0056767/,tvSeries,8.8,60,1963,"Comedy, Music",448,1963-09-29,
81,tt0056757,2020-09-30,2020-09-30,,The Fugitive,https://www.imdb.com/title/tt0056757/,tvSeries,8.1,51,1963,"Adventure, Crime, Drama, Thriller",4264,1963-09-17,
82,tt0168388,2020-09-30,2020-09-30,,Thierry la Fronde,https://www.imdb.com/title/tt0168388/,tvSeries,6.5,26,1963,Adventure,129,1963-11-03,
83,tt0056777,2020-09-30,2020-09-30,,The Outer Limits,https://www.imdb.com/title/tt0056777/,tvSeries,8.2,51,1963,"Fantasy, Horror, Sci-Fi, Drama, Mystery, Thriller",8621,1963-09-16,
84,tt0057733,2020-09-30,2020-09-30,,Bewitched,https://www.imdb.com/title/tt0057733/,tvSeries,7.6,25,1964,"Comedy, Family, Fantasy, Romance",22367,1964-09-17,
85,tt0057741,2020-09-30,2020-09-30,,Crossroads,https://www.imdb.com/title/tt0057741/,tvSeries,4.2,30,1964,Drama,369,1964-11-02,
86,tt0057751,2020-09-30,2020-09-30,,Gilligan's Island,https://www.imdb.com/title/tt0057751/,tvSeries,7.4,30,1964,"Comedy, Family",15480,1964-09-26,
87,tt0057779,2020-09-30,2020-09-30,,Peyton Place,https://www.imdb.com/title/tt0057779/,tvSeries,7.3,30,1964,"Drama, Romance",629,1964-09-15,
88,tt0287857,2020-09-30,2020-09-30,,Le inchieste del commissario Maigret,https://www.imdb.com/title/tt0287857/,tvSeries,8.7,,1964,Crime,78,1964-12-27,
89,tt0058821,2020-09-30,2020-09-30,,The Likely Lads,https://www.imdb.com/title/tt0058821/,tvSeries,7.1,30,1964,Comedy,735,1964-12-16,
90,tt0058578,2020-09-30,2020-09-30,,Seven Up!,https://www.imdb.com/title/tt0058578/,tvMovie,7.9,40,1964,"Documentary, Biography",4031,1964-05-05,Paul Almond
91,tt0057729,2020-09-30,2020-09-30,,The Addams Family,https://www.imdb.com/title/tt0057729/,tvSeries,8.0,30,1964,"Comedy, Family, Horror",20093,1964-09-18,
92,tt0057758,2020-09-30,2020-09-30,,Jeopardy!,https://www.imdb.com/title/tt0057758/,tvSeries,7.6,30,1964,Game-Show,665,1964-03-30,
93,tt0139803,2020-09-30,2020-09-30,,Top of the Pops,https://www.imdb.com/title/tt0139803/,tvSeries,6.9,30,1964,Music,1046,1964-01-01,
94,tt0057765,2020-09-30,2020-09-30,,The Man from U.N.C.L.E.,https://www.imdb.com/title/tt0057765/,tvSeries,7.7,50,1964,"Action, Adventure, Crime",5713,1964-09-22,
95,tt0057773,2020-09-30,2020-09-30,,The Munsters,https://www.imdb.com/title/tt0057773/,tvSeries,7.8,30,1964,"Comedy, Family, Fantasy, Horror",15732,1964-09-24,
96,tt0057798,2020-09-30,2020-09-30,,Voyage to the Bottom of the Sea,https://www.imdb.com/title/tt0057798/,tvSeries,7.2,52,1964,"Adventure, Sci-Fi",3880,1964-09-14,
97,tt0058791,2020-09-30,2020-09-30,,The Big Valley,https://www.imdb.com/title/tt0058791/,tvSeries,7.6,60,1965,"Drama, Western",3122,1965-09-15,
98,tt0058815,2020-09-30,2020-09-30,,I Dream of Jeannie,https://www.imdb.com/title/tt0058815/,tvSeries,7.4,,1965,"Comedy, Family, Fantasy",16207,1965-09-18,
99,tt0058808,2020-09-30,2020-09-30,,Green Acres,https://www.imdb.com/title/tt0058808/,tvSeries,7.3,30,1965,"Comedy, Family",7047,1965-09-15,
100,tt0375356,2020-09-30,2020-09-30,,Jeux sans frontières,https://www.imdb.com/title/tt0375356/,tvSeries,8.0,120,1965,"Family, Game-Show",264,1965-03-26,
101,tt0058812,2020-09-30,2020-09-30,,Hogan's Heroes,https://www.imdb.com/title/tt0058812/,tvSeries,7.8,25,1965,"Comedy, War",10934,1965-09-17,
102,tt0058824,2020-09-30,2020-09-30,,Lost in Space,https://www.imdb.com/title/tt0058824/,tvSeries,7.2,60,1965,"Adventure, Comedy, Family, Fantasy, Sci-Fi",8125,1965-09-08,
103,tt0128004,2020-09-30,2020-09-30,,Not Only... But Also,https://www.imdb.com/title/tt0128004/,tvSeries,8.4,45,1965,Comedy,207,1965-01-09,
104,tt0315006,2020-09-30,2020-09-30,,Ferien in Lipizza,https://www.imdb.com/title/tt0315006/,tvSeries,9.1,,1966,Family,107,1966-09-12,
105,tt0058816,2020-09-30,2020-09-30,,I Spy,https://www.imdb.com/title/tt0058816/,tvSeries,7.2,51,1965,"Action, Adventure, Comedy, Crime",2327,1965-09-15,
106,tt0058796,2020-09-30,2020-09-30,,Days of Our Lives,https://www.imdb.com/title/tt0058796/,tvSeries,5.2,60,1965,"Drama, Romance",7006,1965-11-08,
107,tt0058795,2020-09-30,2020-09-30,,The Dating Game,https://www.imdb.com/title/tt0058795/,tvSeries,5.8,30,1965,"Game-Show, Romance",396,1965-12-20,
108,tt0057790,2020-09-30,2020-09-30,,Thunderbirds,https://www.imdb.com/title/tt0057790/,tvSeries,7.8,50,1965,"Animation, Action, Adventure, Drama, Family, Sci-Fi",4693,1965-09-15,
109,tt0060035,2020-09-30,2020-09-30,,Till Death Us Do Part,https://www.imdb.com/title/tt0060035/,tvSeries,7.3,30,1965,Comedy,944,1965-07-22,
110,tt0059968,2020-09-30,2020-09-30,,Batman,https://www.imdb.com/title/tt0059968/,tvSeries,7.5,25,1966,"Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",23653,1966-01-12,
111,tt0061289,2020-09-30,2020-09-30,,Raumpatrouille - Die phantastischen Abenteuer des Raumschiffes Orion,https://www.imdb.com/title/tt0061289/,tvSeries,8.0,60,1966,"Adventure, Sci-Fi",987,1966-09-17,
112,tt0129717,2020-09-30,2020-09-30,,Softly Softly,https://www.imdb.com/title/tt0129717/,tvSeries,7.0,50,1966,"Crime, Drama",112,1966-01-05,
113,tt0059978,2020-09-30,2020-09-30,,Dark Shadows,https://www.imdb.com/title/tt0059978/,tvSeries,8.1,30,1966,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller",4954,1966-06-27,
114,tt0060009,2020-09-30,2020-09-30,,Mission: Impossible,https://www.imdb.com/title/tt0060009/,tvSeries,7.9,,1966,"Action, Adventure, Crime, Drama, Thriller",10156,1966-09-17,
115,tt0060028,2020-09-30,2020-09-30,,Star Trek,https://www.imdb.com/title/tt0060028/,tvSeries,8.4,50,1966,"Action, Adventure, Sci-Fi",85552,1966-09-04,
116,tt0060010,2020-09-30,2020-09-30,,The Monkees,https://www.imdb.com/title/tt0060010/,tvSeries,7.4,30,1966,"Comedy, Music",4637,1966-09-12,
117,tt0060036,2020-09-30,2020-09-30,,The Time Tunnel,https://www.imdb.com/title/tt0060036/,tvSeries,7.5,60,1966,"Action, Adventure, Sci-Fi",3905,1966-09-09,
118,tt0059966,2020-09-30,2020-09-30,,The Baron,https://www.imdb.com/title/tt0059966/,tvSeries,7.1,49,1966,"Crime, Drama",288,1966-01-20,
119,tt0060038,2020-09-30,2020-09-30,,Urutoraman: Kûsô tokusatsu shirîzu,https://www.imdb.com/title/tt0060038/,tvSeries,7.9,30,1966,"Action, Adventure, Comedy, Drama, Sci-Fi, Thriller",860,1966-07-10,
120,tt0061238,2020-09-30,2020-09-30,,Callan,https://www.imdb.com/title/tt0061238/,tvSeries,8.3,60,1967,"Crime, Drama, Mystery, Thriller",780,1967-07-08,
121,tt0065335,2020-09-30,2020-09-30,,The Phil Donahue Show,https://www.imdb.com/title/tt0065335/,tvSeries,6.3,60,1967,Talk-Show,383,1967-11-06,
122,tt0061266,2020-09-30,2020-09-30,,Ironside,https://www.imdb.com/title/tt0061266/,tvSeries,6.9,60,1967,"Crime, Drama, Mystery",3729,1967-09-14,
123,tt0061263,2020-09-30,2020-09-30,,The High Chaparral,https://www.imdb.com/title/tt0061263/,tvSeries,7.6,60,1967,Western,2135,1967-09-10,
124,tt0061265,2020-09-30,2020-09-30,,The Invaders,https://www.imdb.com/title/tt0061265/,tvSeries,8.1,51,1967,"Drama, Sci-Fi, Thriller",3111,1967-01-10,
125,tt0475490,2020-09-30,2020-09-30,,AFL-NFL World Championship Game,https://www.imdb.com/title/tt0475490/,tvSpecial,7.1,,1967,Sport,53,1967-01-15,
126,tt0167585,2020-09-30,2020-09-30,,Les enquêtes du commissaire Maigret,https://www.imdb.com/title/tt0167585/,tvSeries,7.6,90,1967,"Crime, Drama",116,1967-10-14,
127,tt0061280,2020-09-30,2020-09-30,,The Mothers-In-Law,https://www.imdb.com/title/tt0061280/,tvSeries,7.2,30,1967,Comedy,622,1967-09-10,
128,tt0061287,2020-09-30,2020-09-30,,The Prisoner,https://www.imdb.com/title/tt0061287/,tvSeries,8.5,50,1967,"Drama, Mystery, Sci-Fi",14268,1967-09-05,
129,tt0061240,2020-09-30,2020-09-30,,The Carol Burnett Show,https://www.imdb.com/title/tt0061240/,tvSeries,8.7,60,1967,"Comedy, Family",6562,1967-09-11,
130,tt0061253,2020-09-30,2020-09-30,,The Forsyte Saga,https://www.imdb.com/title/tt0061253/,tvSeries,8.5,50,1967,"Drama, Romance",1058,1967-01-07,
131,tt0063930,2020-09-30,2020-09-30,,The Morecambe & Wise Show,https://www.imdb.com/title/tt0063930/,tvSeries,8.1,,1968,Comedy,1001,1968-09-02,
132,tt0062552,2020-09-30,2020-09-30,,Dad's Army,https://www.imdb.com/title/tt0062552/,tvSeries,8.1,30,1968,"Comedy, War",6722,1968-07-31,
133,tt0062568,2020-09-30,2020-09-30,,Hawaii Five-O,https://www.imdb.com/title/tt0062568/,tvSeries,7.4,60,1968,"Crime, Drama, Mystery",7361,1968-09-20,
134,tt0062575,2020-09-30,2020-09-30,,Julia,https://www.imdb.com/title/tt0062575/,tvSeries,7.7,30,1968,Comedy,610,1968-09-17,
135,tt0062578,2020-09-30,2020-09-30,,Land of the Giants,https://www.imdb.com/title/tt0062578/,tvSeries,7.0,60,1968,Sci-Fi,2641,1968-09-22,
136,tt0059979,2020-09-30,2020-09-30,,The Dean Martin Summer Show,https://www.imdb.com/title/tt0059979/,tvSeries,6.2,60,1966,"Comedy, Music",27,1966-06-16,
137,tt0199247,2020-09-30,2020-09-30,,Super sabado sensacional,https://www.imdb.com/title/tt0199247/,tvSeries,2.9,,1983,,12,,
138,tt0062551,2020-09-30,2020-09-30,,The Champions,https://www.imdb.com/title/tt0062551/,tvSeries,7.5,60,1968,"Adventure, Sci-Fi, Thriller",1275,1968-02-05,
139,tt0063894,2020-09-30,2020-09-30,,The Dick Cavett Show,https://www.imdb.com/title/tt0063894/,tvSeries,8.3,90,1968,"Music, Talk-Show",901,1968-03-04,
140,tt0264234,2020-09-30,2020-09-30,,Civilisation,https://www.imdb.com/title/tt0264234/,tvMiniSeries,8.6,50,1969,"Documentary, History, Music, War",947,1969-02-23,
141,tt0063893,2020-09-30,2020-09-30,,Department S,https://www.imdb.com/title/tt0063893/,tvSeries,7.2,60,1969,"Action, Adventure, Crime, Drama, Horror, Mystery, Sci-Fi, Thriller",536,1969-03-09,
142,tt0063929,2020-09-30,2020-09-30,,Monty Python's Flying Circus,https://www.imdb.com/title/tt0063929/,tvSeries,8.8,30,1969,Comedy,75209,1969-10-05,
143,tt0063927,2020-09-30,2020-09-30,,"Marcus Welby, M.D.",https://www.imdb.com/title/tt0063927/,tvSeries,7.0,60,1969,Drama,1653,1969-03-26,
144,tt0063878,2020-09-30,2020-09-30,,The Brady Bunch,https://www.imdb.com/title/tt0063878/,tvSeries,6.8,30,1969,"Comedy, Family",14646,1969-09-26,
145,tt0472581,2020-09-30,2020-09-30,,Wünsch dir was,https://www.imdb.com/title/tt0472581/,tvSeries,7.2,90,1969,"Family, Game-Show",17,1969-12-20,
146,tt0064897,2020-09-30,2020-09-30,,Riten,https://www.imdb.com/title/tt0064897/,tvMovie,7.0,72,1969,Drama,3043,1969-03-25,Ingmar Bergman
147,tt0063946,2020-09-30,2020-09-30,,Randall and Hopkirk (Deceased),https://www.imdb.com/title/tt0063946/,tvSeries,7.6,60,1969,"Action, Comedy, Crime, Drama, Fantasy, Mystery",1347,1969-09-21,
148,tt0065272,2020-09-30,2020-09-30,,All My Children,https://www.imdb.com/title/tt0065272/,tvSeries,6.7,60,1970,"Drama, Romance, Mystery",3012,1970-01-05,
149,tt0063962,2020-09-30,2020-09-30,,UFO,https://www.imdb.com/title/tt0063962/,tvSeries,7.9,45,1970,"Action, Sci-Fi",3720,1970-09-16,
150,tt0065329,2020-09-30,2020-09-30,,The Odd Couple,https://www.imdb.com/title/tt0065329/,tvSeries,7.9,30,1970,Comedy,6618,1970-09-24,
151,tt0065333,2020-09-30,2020-09-30,,The Partridge Family,https://www.imdb.com/title/tt0065333/,tvSeries,6.5,30,1970,"Comedy, Family, Music",4307,1970-09-25,
152,tt0065317,2020-09-30,2020-09-30,,McCloud,https://www.imdb.com/title/tt0065317/,tvSeries,6.9,120,1970,"Action, Crime, Drama, Mystery, Thriller",3453,1970-02-17,
153,tt1515533,2020-09-30,2020-09-30,,Rischiatutto,https://www.imdb.com/title/tt1515533/,tvSeries,6.8,,1970,Game-Show,8,1970-02-05,
154,tt0065296,2020-09-30,2020-09-30,,The Goodies,https://www.imdb.com/title/tt0065296/,tvSeries,7.7,30,1970,Comedy,1736,1970-11-08,
155,tt0806910,2020-09-30,2020-09-30,,Tatort,https://www.imdb.com/title/tt0806910/,tvSeries,7.0,90,1970,"Crime, Drama, Mystery, Thriller",3394,1970-11-29,
156,tt0065314,2020-09-30,2020-09-30,,Mary Tyler Moore,https://www.imdb.com/title/tt0065314/,tvSeries,8.2,30,1970,Comedy,9253,1970-09-19,
157,tt0065294,2020-09-30,2020-09-30,,Flip,https://www.imdb.com/title/tt0065294/,tvSeries,7.4,60,1970,"Comedy, Music",1025,1970-09-17,
